year,category,category_slug,category_url,rank,rank_label,venue_idx,name,venue_url,profile_url,address,postcode,lat,lon,geocode_source
2026,Best Brighton Restaurant,best_brighton_restaurant,https://restaurantsbrighton.co.uk/top-20-restaurants-brighton/,17,seventeenth,16,Pearly Cow,https://restaurantsbrighton.co.uk/pearly-cow-brighton/,https://restaurantsbrighton.co.uk/pearly-cow-brighton/,"Pearly Cow, Brighton 123 Kings Road Brighton BN1 2FY",BN1 2FY,50.821734,-0.149619,ONSPD via venue page postcode
2026,Best Brighton Restaurant,best_brighton_restaurant,https://restaurantsbrighton.co.uk/top-20-restaurants-brighton/,18,eighteenth,17,Market,https://restaurantsbrighton.co.uk/market-restaurant-bar-hove/,https://restaurantsbrighton.co.uk/market-restaurant-bar-hove/,"42 Western Road, Hove BN3 1JD",BN3 1JD,50.825843,-0.160958,ONSPD via venue page postcode
2026,Best Brighton Restaurant,best_brighton_restaurant,https://restaurantsbrighton.co.uk/top-20-restaurants-brighton/,19,nineteenth,18,Fourth and Church,https://restaurantsbrighton.co.uk/fourth-church-hove/,https://restaurantsbrighton.co.uk/fourth-church-hove/,"84 Church Road, Hove, BN3 2EB",BN3 2EB,50.827641,-0.171580,ONSPD via venue page postcode
2026,Best Brighton Restaurant,best_brighton_restaurant,https://restaurantsbrighton.co.uk/top-20-restaurants-brighton/,20,Twentieth,19,etch.,https://restaurantsbrighton.co.uk/etch-brighton/,https://restaurantsbrighton.co.uk/etch-brighton/,"214-216 Church Road, Hove, BN3 2DJ",BN3 2DJ,50.828460,-0.177569,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,1,First place,20,Andalucia Restaurant,https://restaurantsbrighton.co.uk/andalucia/,https://restaurantsbrighton.co.uk/andalucia/,60 Ferring StreetWorthingWest Sussex BN12 5JP,BN12 5JP,50.815475,-0.446761,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,2,Second place,21,Crabshack,https://restaurantsbrighton.co.uk/crabshack-worthing/,https://restaurantsbrighton.co.uk/crabshack-worthing/,"2 Marine Parade, Worthing BN11 3PN",BN11 3PN,50.810706,-0.364391,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,3,Third place,22,Poco,https://restaurantsbrighton.co.uk/poco-alfriston/,https://restaurantsbrighton.co.uk/poco-alfriston/,"3 High St, Alfriston, Polegate, BN26 5TY",BN26 5TY,50.807408,0.156629,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,4,Fourth place,23,Saltio Mexican Worthing,https://www.saltiomexican.com/,,,BN11 3PT,50.810117,-0.368431,ONSPD via Nominatim (Sussex bbox)
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,5,Fifth Place,24,Squisito,https://www.squisito.co.uk/,,,,,,Nominatim mismatch (GU21 4SY)
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,6,Sixth place,25,Le Flamant,https://restaurantsbrighton.co.uk/le-flamant/,https://restaurantsbrighton.co.uk/le-flamant/,64 High Street Lindfield Haywards Heath West Sussex RH16 2HL,RH16 2HL,51.012806,-0.081051,ONSPD via venue page postcode
