venue_idx,name,profile_url,venue_url,address,postcode,lat,lon,hove,sussex,geocode_source
26,Terra at Tottington Manor,https://restaurantsbrighton.co.uk/terra-restaurant/,https://restaurantsbrighton.co.uk/terra-restaurant/,"Tottington Manor, Edburton Rd, Henfield, BN5 9LJ",BN5 9LJ,50.891093,-0.272994,False,True,ONSPD via venue page postcode
27,The Fig Tree,https://restaurantsbrighton.co.uk/the-fig-tree-hurstpierpoint/,https://restaurantsbrighton.co.uk/the-fig-tree-hurstpierpoint/,"120 High St, Hurstpierpoint, Hassocks BN6 9PX",BN6 9PX,50.932394,-0.175089,False,True,ONSPD via venue page postcode
28,Village Pizza Kitchen,https://restaurantsbrighton.co.uk/village-pizza-kitchen/,https://restaurantsbrighton.co.uk/village-pizza-kitchen/,"155 High Street, Hurstpierpoint, BN6 9PU",BN6 9PU,50.932565,-0.174855,False,True,ONSPD via venue page postcode
29,Artelium,https://restaurantsbrighton.co.uk/artelium/,https://restaurantsbrighton.co.uk/artelium/,"Artelium Wine Estate Streat Lane, Hassocks East Sussex BN6 8SA",BN6 8SA,50.935054,-0.076396,False,True,ONSPD via venue page postcode
30,Babylon Eco Centre,,https://babylon.eco/,,TN22 3BH,51.031489,0.091993,False,True,ONSPD via Nominatim postcode
31,Crocodile Cafe,,https://www.crocodilecafe.uk/,,BN2 8LH,50.800607,-0.037276,False,True,ONSPD via Nominatim postcode
32,Orla Restaurant & Rooms,,https://www.orlalindfield.co.uk/,,,,,False,True,
33,Chalk at Wiston Estate,,https://www.wistonestate.com/chalk-restaurant/,,BN44 3DD,50.906344,-0.367075,False,True,ONSPD via Nominatim (Sussex bbox)
34,Safari Pizza Co,,https://safaripizzas.co.uk/,,,,,False,True,
35,Ginger Fox,https://restaurantsbrighton.co.uk/ginger-fox/,https://restaurantsbrighton.co.uk/ginger-fox/,"The Ginger Fox, Muddleswood Road, Henfield Road, Albourne, West Sussex, BN6 9EA.",BN6 9EA,50.913366,-0.214769,False,True,ONSPD via venue page postcode
36,Morley's Bistro,https://restaurantsbrighton.co.uk/morleys-bistro-hurstpierpoint/,https://restaurantsbrighton.co.uk/morleys-bistro-hurstpierpoint/,"42 High St, Hurstpierpoint, Hassocks BN6 9RG",BN6 9RG,50.933513,-0.178802,False,True,ONSPD via venue page postcode
37,The Woodcote Graffham,,https://www.thewoodcote.com/,,GU28 0NT,50.9503827,-0.6837554,False,True,Nominatim (Sussex bbox)
38,Dill,https://restaurantsbrighton.co.uk/dill-lewes/,https://restaurantsbrighton.co.uk/dill-lewes/,,BN7 2BP,50.873813,0.019740,False,True,ONSPD via venue page postcode
39,The Pass,https://restaurantsbrighton.co.uk/the-pass-restaurant/,https://restaurantsbrighton.co.uk/the-pass-restaurant/,"Brighton Rd, Lower Beeding, Horsham RH13 6PS",RH13 6PS,51.014676,-0.262034,False,True,ONSPD via venue page postcode
40,Jo & Co,https://restaurantsbrighton.co.uk/jo-and-co/,https://restaurantsbrighton.co.uk/jo-and-co/,"115 Church Road, Hove, BN3 2AF",BN3 2AF,50.828020,-0.171665,False,False,ONSPD via venue page postcode
